time,tweet
2019-10-31 20:19:13,"RT @RepMarkMeadows: Democrats keep trying to tell you they're *reluctantly* pursuing impeachment.

Reminder: since @realDonaldTrump took of…"
2019-10-31 20:18:59,"RT @RepMarkMeadows: Washington Democrats made every effort to take down this President with a fake Russian collusion scandal

It failed

Th…"
2019-10-31 20:18:56,"RT @GOPLeader: The worst part about their sham impeachment is all the things that are NOT getting done:
✖️ Government is NOT funded 
✖️ Our…"
2019-10-31 20:18:50,"RT @RepArrington: Today, @HouseDemocrats will continue an impeachment inquisition that is nothing more than an illegitimate witch-hunt. The…"
2019-10-31 20:18:40,"RT @MikeKellyPA: After weeks of Adam Schiff's secret hearings &amp; selective leaks, the Do-Nothing-Dems are trying to legitimize the unfair in…"
2019-10-31 20:18:37,"RT @GOPLeader: BREAKING ⇒ 100% of Republicans just voted AGAINST this sham impeachment. Two Democrats joined us.

Speaker Pelosi and Chairm…"
2019-10-31 20:18:35,RT @RepPeteKing: Voted AGAINST Impeachment Resolution. Voted FOR Constitution and America. The fight goes on. God Bless America!
2019-10-31 20:18:32,RT @RepMeuser: Today’s vote on the impeachment resolution is a continuation of the farce that Speaker Pelosi and Chairman Schiff are trying…
2019-10-31 20:18:25,RT @RepDougCollins: Fact: Pelosi’s inquiry is officially the first presidential impeachment inquiry in modern history authorized by members…
2019-10-31 20:18:22,"RT @SteveScalise: 🚨 BREAKING: Dems are voting to continue their Soviet-style impeachment scheme.

They're not interested in due process.

T…"
2019-10-31 17:42:10,RT @FLOTUS: Trick-or-Treat  @WhiteHouse #Halloween2019 https://t.co/fkxu03qImu
2019-10-31 15:31:46,The Greatest Witch Hunt In American History!
2019-10-31 14:57:30,The Impeachment Hoax is hurting our Stock Market. The Do Nothing Democrats don’t care!
2019-10-31 14:37:45,"....our manufacturers. We should have lower interest rates than Germany, Japan and all others. We are now, by far,… https://t.co/WGlLKZqYo4"
2019-10-31 14:37:39,"People are VERY disappointed in Jay Powell and the Federal Reserve. The Fed has called it wrong from the beginning,… https://t.co/AU2orUKHjS"
2019-10-31 13:29:19,READ THE TRANSCRIPT!
2019-10-31 13:24:32,"China and the USA are working on selecting a new site for signing of Phase One of Trade Agreement, about 60% of tot… https://t.co/1B8nYbWPpU"
2019-10-31 12:52:08,RT @brithume: The reality is that political ads are usually arguably true and arguably false. So who gets to decide what’s true and what’s…
2019-10-31 12:50:35,"Congratulations to @FoxNews, you left @CNN &amp; @MSNBC in the dust (that’s because the don’t tell the truth!). https://t.co/C87eV3Zp7B"
2019-10-31 12:40:13,"RT @CableNewsWatch: 🎉🍾 Congratulations @GregGutfeldShow 
#1 show in cable news Saturday 18-49 &amp; 25-54 demos
Also 1.8M tuned in to the ""King…"
2019-10-31 12:34:31,RT @AriFleischer: Joe Biden Repeatedly Asked Agencies To Do What Son's Clients Wanted https://t.co/J96lmY8xcv
2019-10-31 12:34:07,RT @AmericaNewsroom: THE HEADLINER: @AriFleischer responds to Joe Biden and Beto O'Rourke's criticism of President Trump taking credit for…
